,BLOCK_SIZE,num_warps,num_ctas,num_stages,maxnreg,runtime,compile_time,tokens,d,GPU
21,64,8,1,1,None,0.0036273151636123657,0.13882660865783691,512,128,V100
22,128,2,1,0,None,0.002764957258477807,0.14518380165100098,512,128,V100
23,4096,1,1,3,None,0.009402238763868809,0.0016498565673828125,512,128,V100
24,8192,32,1,3,None,0.004459553863853216,0.1665339469909668,512,128,V100
25,32,2,1,3,None,0.005139675457030535,0.14064908027648926,512,128,V100
26,1024,1,1,0,None,0.002834721002727747,0.2606484889984131,512,128,V100
27,512,8,1,0,None,0.0022244909778237343,0.131425142288208,512,128,V100
28,16,2,1,5,None,0.00834608729928732,0.1402592658996582,512,128,V100
29,4096,1,1,0,None,0.009400301612913609,0.633601188659668,512,128,V100
30,1024,4,1,1,None,0.0023580885026603937,0.15235376358032227,512,128,V100
31,8192,32,1,1,None,0.004458085633814335,0.16544675827026367,512,128,V100
32,8192,4,1,3,None,0.005557262804359198,0.34397411346435547,512,128,V100
33,8192,32,1,0,None,0.0044574979692697525,0.15955042839050293,512,128,V100
34,2048,32,1,5,None,0.002650301204994321,0.15202546119689941,512,128,V100
35,4096,1,1,2,None,0.009401295334100723,0.6866302490234375,512,128,V100
36,256,8,1,1,None,0.0024062630254775286,0.1365671157836914,512,128,V100
37,2048,4,1,4,None,0.002972489921376109,0.18652057647705078,512,128,V100
38,512,8,1,3,None,0.002222210867330432,0.14111328125,512,128,V100
39,1024,1,1,5,None,0.002835426013916731,0.2343142032623291,512,128,V100
40,512,16,1,0,None,0.0022286020684987307,0.14072489738464355,512,128,V100
41,2048,16,1,4,None,0.0025072877760976553,0.14486098289489746,512,128,V100
42,64,4,1,5,None,0.0035586452577263117,0.1764509677886963,512,128,V100
43,128,4,1,2,None,0.002786664292216301,0.13600850105285645,512,128,V100
44,32,8,1,5,None,0.005241282284259796,0.14390945434570312,512,128,V100
45,2048,32,1,4,None,0.0026495633646845818,0.1741018295288086,512,128,V100
46,16,32,1,1,None,0.021899785846471786,0.1227872371673584,512,128,V100
47,512,8,1,2,None,0.002221392933279276,0.0014045238494873047,512,128,V100
48,32,2,1,5,None,0.005141730885952711,0.14891552925109863,512,128,V100
49,8192,8,1,2,None,0.004586415830999613,0.25092315673828125,512,128,V100
50,128,2,1,3,None,0.002766159363090992,0.1431877613067627,512,128,V100
51,32,16,1,4,None,0.0063754054717719555,0.14143800735473633,512,128,V100
52,256,2,1,4,None,0.00241302652284503,0.0013854503631591797,512,128,V100
53,4096,16,1,3,None,0.0030831778421998024,0.0014150142669677734,512,128,V100
0,2048,8,1,1,None,0.23941382765769958,0.16798734664916992,128,65536,V100
1,256,2,1,0,None,0.10476374626159668,0.1558389663696289,128,65536,V100
2,128,1,1,4,None,0.10474640876054764,0.1578531265258789,128,65536,V100
3,32,16,1,5,None,0.6717652082443237,0.13591766357421875,128,65536,V100
4,16,2,1,3,None,0.8197335004806519,0.14070582389831543,128,65536,V100
5,256,1,1,5,None,0.10501757264137268,0.16898036003112793,128,65536,V100
6,64,32,1,2,None,0.745345950126648,0.13811850547790527,128,65536,V100
7,4096,16,1,2,None,0.4746214747428894,0.17252635955810547,128,65536,V100
8,512,4,1,5,None,0.10479136556386948,0.001428842544555664,128,65536,V100
9,1024,4,1,4,None,0.12128663808107376,0.16139650344848633,128,65536,V100
10,2048,4,1,1,None,0.2391512542963028,0.0013937950134277344,128,65536,V100
11,64,4,1,4,None,0.20697543025016785,0.13584136962890625,128,65536,V100
12,1024,1,1,1,None,0.12903305888175964,0.25730371475219727,128,65536,V100
13,16,1,1,1,None,0.8196130394935608,0.13913917541503906,128,65536,V100
14,32,16,1,2,None,0.6717869639396667,0.14286303520202637,128,65536,V100
15,128,32,1,4,None,0.38828331232070923,0.0014030933380126953,128,65536,V100
16,4096,2,1,2,None,0.5336291193962097,0.3493533134460449,128,65536,V100
17,256,16,1,0,None,0.1694326251745224,0.14750432968139648,128,65536,V100
18,64,32,1,3,None,0.7453234791755676,0.138016939163208,128,65536,V100
19,16,8,1,0,None,0.8199142217636108,0.0013968944549560547,128,65536,V100
20,64,16,1,2,None,0.34696781635284424,0.14246273040771484,128,65536,V100
21,64,8,1,1,None,0.2071586549282074,0.13106083869934082,128,65536,V100
22,128,2,1,0,None,0.10485165566205978,0.13750338554382324,128,65536,V100
23,4096,1,1,3,None,0.642941415309906,0.0015418529510498047,128,65536,V100
24,8192,32,1,3,None,0.9484426975250244,0.16168594360351562,128,65536,V100
25,32,2,1,3,None,0.41065478324890137,0.14925503730773926,128,65536,V100
26,1024,1,1,0,None,0.12904351949691772,0.26656103134155273,128,65536,V100
27,512,8,1,0,None,0.10501352697610855,0.14128375053405762,128,65536,V100
28,16,2,1,5,None,0.8193807005882263,0.13987517356872559,128,65536,V100
29,4096,1,1,0,None,0.6428864002227783,0.6516849994659424,128,65536,V100
30,1024,4,1,1,None,0.12129513174295425,0.16051316261291504,128,65536,V100
31,8192,32,1,1,None,0.9484725594520569,0.16902852058410645,128,65536,V100
32,8192,4,1,3,None,1.0597842931747437,0.34482479095458984,128,65536,V100
33,8192,32,1,0,None,0.9485421180725098,0.15738344192504883,128,65536,V100
34,2048,32,1,5,None,0.4398784339427948,0.0013980865478515625,128,65536,V100
35,4096,1,1,2,None,0.6428021788597107,0.6335198879241943,128,65536,V100
36,256,8,1,1,None,0.10497373342514038,0.1447451114654541,128,65536,V100
37,2048,4,1,4,None,0.23920798301696777,0.18776988983154297,128,65536,V100
38,512,8,1,3,None,0.10501869022846222,0.14167475700378418,128,65536,V100
39,1024,1,1,5,None,0.1290481686592102,0.24967670440673828,128,65536,V100
40,512,16,1,0,None,0.16121576726436615,0.13012313842773438,128,65536,V100
