,BLOCK_SIZE,num_warps,num_ctas,num_stages,num_buffers_warp_spec,num_consumer_groups,reg_dec_producer,reg_inc_consumer,maxnreg,runtime,compile_time,tokens,d,GPU
4,16,4,1,0,0.0,0.0,0.0,0.0,None,0.005157425068318844,0.10747051239013672,2048,16,V100
5,512,2,1,5,0.0,0.0,0.0,0.0,None,0.0021631410345435143,0.12883687019348145,2048,16,V100
6,512,2,1,1,0.0,0.0,0.0,0.0,None,0.0021629801485687494,0.13039755821228027,2048,16,V100
7,2048,4,1,1,0.0,0.0,0.0,0.0,None,0.0027342820540070534,0.16337275505065918,2048,16,V100
8,1024,2,1,5,0.0,0.0,0.0,0.0,None,0.0026965474244207144,0.1639258861541748,2048,16,V100
9,8192,16,1,5,0.0,0.0,0.0,0.0,None,0.003226866479963064,0.16840863227844238,2048,16,V100
10,2048,1,1,1,0.0,0.0,0.0,0.0,None,0.005711749196052551,0.3300337791442871,2048,16,V100
11,16,8,1,1,0.0,0.0,0.0,0.0,None,0.005226412788033485,0.1087958812713623,2048,16,V100
12,32,8,1,0,0.0,0.0,0.0,0.0,None,0.0036045354790985584,0.1115107536315918,2048,16,V100
13,1024,16,1,4,0.0,0.0,0.0,0.0,None,0.002102619269862771,0.11365985870361328,2048,16,V100
14,64,32,1,1,0.0,0.0,0.0,0.0,None,0.0044148750603199005,0.11564207077026367,2048,16,V100
15,4096,16,1,3,0.0,0.0,0.0,0.0,None,0.00242405291646719,0.13123631477355957,2048,16,V100
16,256,2,1,4,0.0,0.0,0.0,0.0,None,0.0021761651150882244,0.120513916015625,2048,16,V100
18,256,4,1,4,0.0,0.0,0.0,0.0,None,0.0021606788504868746,0.11315536499023438,2048,16,V100
19,512,32,1,5,0.0,0.0,0.0,0.0,None,0.0021684435196220875,0.11189532279968262,2048,16,V100
20,16,32,1,2,0.0,0.0,0.0,0.0,None,0.011734928004443645,0.10625433921813965,2048,16,V100
22,128,2,1,2,0.0,0.0,0.0,0.0,None,0.0023563012946397066,0.11329531669616699,2048,16,V100
23,1024,1,1,2,0.0,0.0,0.0,0.0,None,0.0027487557381391525,0.2299060821533203,2048,16,V100
24,8192,1,1,2,0.0,0.0,0.0,0.0,None,0.018300365656614304,1.6873071193695068,2048,16,V100
