,BLOCK_SIZE,num_warps,num_stages,runtime,d,tokens,GPU
114,2048,8,1,0.03276799991726875,3803,848,V100
115,8192,8,4,0.035840000957250595,3803,848,V100
116,1024,1,1,0.035840000957250595,3803,848,V100
117,64,1,4,0.08396799862384796,3803,848,V100
118,32,8,1,0.16281600296497345,3803,848,V100
119,16,8,0,3.3822720050811768,5988,5775,V100
120,256,32,4,0.9041919708251953,5988,5775,V100
121,32,8,1,1.698815941810608,5988,5775,V100
122,64,2,2,0.851967990398407,5988,5775,V100
123,1024,2,2,0.2949120104312897,5988,5775,V100
124,512,1,3,0.32153600454330444,5988,5775,V100
125,2048,32,1,0.27852800488471985,5988,5775,V100
126,128,2,5,0.4362240135669708,5988,5775,V100
127,32,1,2,1.6977920532226562,5988,5775,V100
128,16,8,1,3.3822720050811768,5988,5775,V100
129,4096,2,2,0.19353599846363068,11299,1904,V100
130,256,2,2,0.2099200040102005,11299,1904,V100
131,1024,2,1,0.2099200040102005,11299,1904,V100
132,2048,8,0,0.1955839991569519,11299,1904,V100
133,256,8,2,0.2027519941329956,11299,1904,V100
134,2048,1,4,0.2027519941329956,11299,1904,V100
135,4096,4,4,0.187391996383667,11299,1904,V100
136,4096,4,0,0.187391996383667,11299,1904,V100
137,64,4,3,0.5304319858551025,11299,1904,V100
138,8192,8,1,0.1884160041809082,11299,1904,V100
139,8192,32,1,2.1022720336914062,13604,20480,V100
140,1024,4,1,2.404863953590393,13604,20480,V100
141,16,32,0,95.45728302001953,13604,20480,V100
142,1024,2,1,2.438655972480774,13604,20480,V100
143,256,32,0,7.206912040710449,13604,20480,V100
144,32,8,2,13.648896217346191,13604,20480,V100
145,4096,1,0,2.3152639865875244,13604,20480,V100
146,16,8,1,27.193344116210938,13604,20480,V100
147,2048,16,3,2.269184112548828,13604,20480,V100
148,128,2,4,5.146111965179443,13604,20480,V100
149,32,1,2,1.4315520524978638,13958,2093,V100
150,8192,8,2,0.2396160066127777,13958,2093,V100
151,128,32,4,1.3567999601364136,13958,2093,V100
152,8192,32,3,0.23552000522613525,13958,2093,V100
153,8192,16,1,0.2396160066127777,13958,2093,V100
154,4096,1,2,0.2682879865169525,13958,2093,V100
155,2048,32,5,0.2457599937915802,13958,2093,V100
156,512,1,4,0.2662400007247925,13958,2093,V100
157,2048,2,3,0.26009601354599,13958,2093,V100
158,64,2,5,0.719871997833252,13958,2093,V100
159,256,4,1,1.1438080072402954,7027,12288,V100
160,32,4,5,4.220928192138672,7027,12288,V100
161,4096,2,0,0.7311360239982605,7027,12288,V100
162,32,8,4,4.228096008300781,7027,12288,V100
