,BLOCK_SIZE,num_warps,num_stages,runtime,d,tokens,GPU
401,32,16,5,2.6992640495300293,8598,1188,L40S
402,512,32,5,0.09523200243711472,11562,478,L40S
403,4096,8,2,0.06656000018119812,11562,478,L40S
404,64,1,1,0.07782399654388428,11562,478,L40S
405,256,16,2,0.08601599931716919,11562,478,L40S
406,128,32,2,0.20479999482631683,11562,478,L40S
407,1024,4,5,0.07065600156784058,11562,478,L40S
408,32,32,2,0.6799359917640686,11562,478,L40S
409,4096,8,4,0.06758400052785873,11562,478,L40S
410,2048,8,3,0.06860800087451935,11562,478,L40S
411,2048,1,2,0.05632000043988228,11562,478,L40S
412,2048,1,3,2.7054080963134766,11562,478,L40S
413,2048,1,0,2.746367931365967,11562,478,L40S
414,16,1,2,2.692095994949341,11562,478,L40S
415,2048,8,5,2.6997759342193604,11562,478,L40S
416,256,8,2,2.718207836151123,11562,478,L40S
417,8192,4,5,2.771967887878418,11562,478,L40S
418,32,4,5,2.8733439445495605,11562,478,L40S
419,16,32,2,2.7392001152038574,11562,478,L40S
420,2048,2,2,2.73305606842041,11562,478,L40S
421,128,8,4,2.751487970352173,11562,478,L40S
422,512,32,5,3.458048105239868,10938,26280,L40S
423,4096,8,2,3.0115840435028076,10938,26280,L40S
424,64,1,1,3.7811198234558105,10938,26280,L40S
425,256,16,2,3.2194559574127197,10938,26280,L40S
426,128,32,2,9.409536361694336,10938,26280,L40S
427,1024,4,5,3.2174079418182373,10938,26280,L40S
428,32,32,2,34.224639892578125,10938,26280,L40S
429,4096,8,4,2.9777920246124268,10938,26280,L40S
430,2048,8,3,3.033087968826294,10938,26280,L40S
431,2048,1,2,3.1134719848632812,10938,26280,L40S
432,16,8,4,2.7351040840148926,10938,26280,L40S
433,16,8,0,2.7197439670562744,10938,26280,L40S
434,8192,8,0,2.743295907974243,10938,26280,L40S
435,1024,2,5,2.7156479358673096,10938,26280,L40S
436,32,8,0,2.7340800762176514,10938,26280,L40S
437,1024,1,5,2.703360080718994,10938,26280,L40S
438,2048,16,2,3.146751880645752,10938,26280,L40S
439,128,8,4,2.766848087310791,10938,26280,L40S
440,64,1,5,2.792448043823242,10938,26280,L40S
441,512,8,0,3.3320960998535156,10938,26280,L40S
442,32,1,5,3.250688076019287,10938,26280,L40S
443,16,8,5,3.6362240314483643,10938,26280,L40S
444,1024,16,5,3.259903907775879,10938,26280,L40S
445,128,1,4,3.2522239685058594,10938,26280,L40S
446,32,32,3,3.2128000259399414,10938,26280,L40S
447,8192,32,2,3.2921600341796875,10938,26280,L40S
448,512,32,5,0.028672000393271446,8129,144,L40S
449,4096,8,2,0.01740800030529499,8129,144,L40S
450,64,1,1,0.02252800017595291,8129,144,L40S
451,256,16,2,0.023552000522613525,8129,144,L40S
452,128,32,2,0.058368001133203506,8129,144,L40S
453,1024,4,5,0.01740800030529499,8129,144,L40S
454,32,32,2,0.15462400019168854,8129,144,L40S
455,4096,8,4,0.01740800030529499,8129,144,L40S
456,2048,8,3,0.01841600053012371,8129,144,L40S
457,2048,1,2,0.01740800030529499,8129,144,L40S
458,128,2,2,2.7345919609069824,8129,144,L40S
459,2048,4,0,2.663424015045166,8129,144,L40S
460,512,32,5,0.07782399654388428,7191,546,L40S
461,4096,8,2,0.05124799907207489,7191,546,L40S
462,64,1,1,0.062463998794555664,7191,546,L40S
463,256,16,2,0.06656000018119812,7191,546,L40S
464,128,32,2,0.1515520066022873,7191,546,L40S
